index,mapped_rxn
43,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:21][cH:22]1.I[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][cH:17][c:18]([Cl:19])[cH:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]2[cH:15][cH:16][cH:17][c:18]([Cl:19])[cH:20]2)[cH:21][cH:22]1
44,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:21][cH:22]1.I[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][cH:17][c:18]([Cl:19])[cH:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]2[cH:15][cH:16][cH:17][c:18]([Cl:19])[cH:20]2)[cH:21][cH:22]1
45,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:21][cH:22]1.I[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1[Br:20]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[Br:20])[cH:21][cH:22]1
46,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:21][cH:22]1.I[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1[Br:20]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[Br:20])[cH:21][cH:22]1
47,[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH2:7])[cH:19][cH:20]1.I[C:8]([F:9])([F:10])[C:11](=[O:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5](/[CH:6]=[CH:7]/[C:8]([F:9])([F:10])[C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:19][cH:20]1
48,[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH2:7])[cH:19][cH:20]1.I[C:8]([F:9])([F:10])[C:11](=[O:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5](/[CH:6]=[CH:7]/[C:8]([F:9])([F:10])[C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:19][cH:20]1
49,[CH2:12]=[CH:13][c:14]1[cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[cH:23]1.I[C:9]([C:2](=[O:1])[c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)([F:10])[F:11]>>[O:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[C:9]([F:10])([F:11])/[CH:12]=[CH:13]/[c:14]1[cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[cH:23]1
50,[CH2:12]=[CH:13][c:14]1[cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[cH:23]1.I[C:9]([C:2](=[O:1])[c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)([F:10])[F:11]>>[O:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[C:9]([F:10])([F:11])/[CH:12]=[CH:13]/[c:14]1[cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[cH:23]1
51,[CH2:13]=[CH:14][c:15]1[cH:16][c:17]([O:18][C:19]([CH3:20])=[O:21])[cH:22][c:23]([O:24][C:25]([CH3:26])=[O:27])[cH:28]1.CC(=O)O[C:33]([CH3:34])=[O:35].I[c:12]1[cH:11][c:10]([O:9][C@@H:8]2[O:7][C@H:6]([CH2:5][O:4][C:2]([CH3:1])=[O:3])[C@@H:46]([O:47][C:48]([CH3:49])=[O:50])[C@H:41]([O:42][C:43]([CH3:44])=[O:45])[C@H:36]2[O:37][C:38]([CH3:39])=[O:40])[c:31]([OH:32])[cH:30][cH:29]1>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][C@H:6]1[O:7][C@@H:8]([O:9][c:10]2[cH:11][c:12](/[CH:13]=[CH:14]/[c:15]3[cH:16][c:17]([O:18][C:19]([CH3:20])=[O:21])[cH:22][c:23]([O:24][C:25]([CH3:26])=[O:27])[cH:28]3)[cH:29][cH:30][c:31]2[O:32][C:33]([CH3:34])=[O:35])[C@H:36]([O:37][C:38]([CH3:39])=[O:40])[C@@H:41]([O:42][C:43]([CH3:44])=[O:45])[C@@H:46]1[O:47][C:48]([CH3:49])=[O:50]
52,Br[c:3]1[cH:4][cH:18][c:17](-[c:16]2[c:7](-[c:6]3[cH:5][cH:19][c:20](Br)[cH:29][cH:31]3)[n:8][c:9]3[cH:10][cH:11][cH:12][n:13][c:14]3[n:15]2)[cH:30][cH:32]1.[CH:1](=[CH2:2])[c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1.[CH2:21]=[CH:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1>>[CH:1](=[CH:2]/[c:3]1[cH:4][cH:5][c:6](-[c:7]2[n:8][c:9]3[cH:10][cH:11][cH:12][n:13][c:14]3[n:15][c:16]2-[c:17]2[cH:18][cH:19][c:20](/[CH:21]=[CH:22]/[c:23]3[cH:24][cH:25][cH:26][cH:27][cH:28]3)[cH:29][cH:30]2)[cH:31][cH:32]1)\[c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1
53,Br[c:3]1[cH:4][cH:5][c:6](-[c:7]2[n:8][c:9]3[cH:10][cH:11][c:12]([O:13][c:14]4[cH:15][cH:16][cH:17][cH:18][cH:19]4)[cH:20][c:21]3[n:22][c:23]2-[c:24]2[cH:25][cH:26][c:27](Br)[cH:36][cH:37]2)[cH:38][cH:39]1.[CH:1](=[CH2:2])[c:40]1[cH:41][cH:42][cH:43][cH:44][cH:45]1.[CH2:28]=[CH:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1>>[CH:1](=[CH:2]/[c:3]1[cH:4][cH:5][c:6](-[c:7]2[n:8][c:9]3[cH:10][cH:11][c:12]([O:13][c:14]4[cH:15][cH:16][cH:17][cH:18][cH:19]4)[cH:20][c:21]3[n:22][c:23]2-[c:24]2[cH:25][cH:26][c:27](/[CH:28]=[CH:29]/[c:30]3[cH:31][cH:32][cH:33][cH:34][cH:35]3)[cH:36][cH:37]2)[cH:38][cH:39]1)\[c:40]1[cH:41][cH:42][cH:43][cH:44][cH:45]1
54,[CH2:1]=[C:2]([CH3:3])[c:9]1[cH:10][cH:11][c:12]([O:13][C:14]([F:15])([F:16])[F:17])[cH:18][cH:19]1.C[Si](c1ccccc1)(c1ccccc1)[CH:4]([OH:5])[CH:6]([F:7])[F:8]>>[CH2:1]=[C:2]([CH2:3][CH:4]([OH:5])[CH:6]([F:7])[F:8])[c:9]1[cH:10][cH:11][c:12]([O:13][C:14]([F:15])([F:16])[F:17])[cH:18][cH:19]1
55,[CH2:1]=[C:2]([CH3:3])[c:9]1[cH:10][cH:11][c:12]([CH3:13])[cH:14][cH:15]1.C[Si](c1ccccc1)(c1ccccc1)[CH:4]([OH:5])[CH:6]([F:7])[F:8]>>[CH2:1]=[C:2]([CH2:3][CH:4]([OH:5])[CH:6]([F:7])[F:8])[c:9]1[cH:10][cH:11][c:12]([CH3:13])[cH:14][cH:15]1
56,Br[c:16]1[c:10]([N:8]([C:6]([C:5](=[CH2:4])[c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)=[O:7])[CH3:9])[cH:11][cH:12][c:13]([CH3:14])[cH:15]1.Br[CH:3]=[CH:2][CH3:1]>>[CH3:1][CH2:2][C:3]1=[CH:4][C:5]2([C:6](=[O:7])[N:8]([CH3:9])[c:10]3[cH:11][cH:12][c:13]([CH3:14])[cH:15][c:16]32)[c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]21
57,Br[c:15]1[c:10]([N:8]([C:6]([C:5](=[CH2:4])[c:16]2[cH:17][cH:18][c:19]([CH3:20])[cH:21][cH:22]2)=[O:7])[CH3:9])[cH:11][cH:12][cH:13][cH:14]1.Br[CH:3]=[CH:2][CH3:1]>>[CH3:1][CH2:2][C:3]1=[CH:4][C:5]2([C:6](=[O:7])[N:8]([CH3:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]32)[c:16]2[cH:17][cH:18][c:19]([CH3:20])[cH:21][c:22]21
58,Br[c:15]1[c:10]([N:8]([C:6]([C:5](=[CH2:4])[c:16]2[c:17]([CH3:18])[cH:19][cH:20][cH:21][cH:22]2)=[O:7])[CH3:9])[cH:11][cH:12][cH:13][cH:14]1.Br[CH:3]=[CH:2][CH3:1]>>[CH3:1][CH2:2][C:3]1=[CH:4][C:5]2([C:6](=[O:7])[N:8]([CH3:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]32)[c:16]2[c:17]([CH3:18])[cH:19][cH:20][cH:21][c:22]21
59,Br[c:16]1[c:11]([N:8]([C:6]([C:5](=[CH2:4])[c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)=[O:7])[CH2:9][CH3:10])[cH:12][cH:13][cH:14][cH:15]1.Br[CH:3]=[CH:2][CH3:1]>>[CH3:1][CH2:2][C:3]1=[CH:4][C:5]2([C:6](=[O:7])[N:8]([CH2:9][CH3:10])[c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]32)[c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]21
60,Br[c:21]1[c:11]([N:8]([C:6]([C:5](=[CH2:4])[c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)=[O:7])[CH2:9][CH3:10])[cH:12][cH:13][c:14]([O:15][C:16]([F:17])([F:18])[F:19])[cH:20]1.Br[CH:3]=[CH:2][CH3:1]>>[CH3:1][CH2:2][C:3]1=[CH:4][C:5]2([C:6](=[O:7])[N:8]([CH2:9][CH3:10])[c:11]3[cH:12][cH:13][c:14]([O:15][C:16]([F:17])([F:18])[F:19])[cH:20][c:21]32)[c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]21
61,Br[c:21]1[c:16]([N:8]([C:6]([C:5](=[CH2:4])[c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)=[O:7])[CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:17][cH:18][cH:19][cH:20]1.Br[CH:3]=[CH:2][CH3:1]>>[CH3:1][CH2:2][C:3]1=[CH:4][C:5]2([C:6](=[O:7])[N:8]([CH2:9][c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[c:16]3[cH:17][cH:18][cH:19][cH:20][c:21]32)[c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]21
62,[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:24][cH:25]1.Br[c:9]1[cH:10][cH:11][c:12]2[c:13]([C:14]#[N:15])[cH:16][c:17]3[s:18][cH:19][cH:20][c:21]3[c:22]2[cH:23]1>>[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[c:9]2[cH:10][cH:11][c:12]3[c:13]([C:14]#[N:15])[cH:16][c:17]4[s:18][cH:19][cH:20][c:21]4[c:22]3[cH:23]2)[cH:24][cH:25]1
63,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][c:6]1[cH:7][cH:8][c:9]([CH:10]=[CH2:11])[cH:27][cH:28]1.Br[c:12]1[cH:13][cH:14][c:15]2[c:16]([C:17]#[N:18])[cH:19][c:20]3[s:21][cH:22][cH:23][c:24]3[c:25]2[cH:26]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][c:6]1[cH:7][cH:8][c:9](/[CH:10]=[CH:11]/[c:12]2[cH:13][cH:14][c:15]3[c:16]([C:17]#[N:18])[cH:19][c:20]4[s:21][cH:22][cH:23][c:24]4[c:25]3[cH:26]2)[cH:27][cH:28]1
64,[CH2:21]=[CH:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1.Br[c:20]1[cH:19][cH:18][c:17]2[cH:16][cH:15][c:14]3[c:13]([c:12]4[c:11]5[c:6]([n:5]([CH2:4][CH2:3][CH2:2][CH3:1])[c:33]4[cH:32][cH:31]3)[cH:7][cH:8][cH:9][cH:10]5)[c:30]2[cH:29]1>>[CH3:1][CH2:2][CH2:3][CH2:4][n:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[c:12]2[c:13]3[c:14]([cH:15][cH:16][c:17]4[cH:18][cH:19][c:20]([CH:21]=[CH:22][c:23]5[cH:24][cH:25][cH:26][cH:27][cH:28]5)[cH:29][c:30]34)[cH:31][cH:32][c:33]12
65,[CH2:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1.I[c:7]1[n:6][c:5]2[cH:4][cH:3][c:2]([CH3:1])[cH:27][n:26]2[c:16]1[CH2:17][O:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:6][c:7]([CH:8]=[CH:9][c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[c:16]([CH2:17][O:18][CH2:19][c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[n:26]2[cH:27]1
66,[CH2:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1.I[c:7]1[n:6][c:5]2[cH:4][cH:3][c:2]([CH3:1])[cH:27][n:26]2[c:16]1[CH2:17][O:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:6][c:7]([CH:8]=[CH:9][c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[c:16]([CH2:17][O:18][CH2:19][c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[n:26]2[cH:27]1
67,[CH2:16]=[CH:17][c:18]1[cH:19][cH:20][n:21][cH:22][cH:23]1.Br[c:15]1[cH:14][c:13]2[c:26]([cH:25][cH:24]1)[N:3]([CH2:2][CH3:1])[c:4]1[cH:5][cH:6][c:7]([CH:8]=[O:9])[cH:10][c:11]1[S:12]2>>[CH3:1][CH2:2][N:3]1[c:4]2[cH:5][cH:6][c:7]([CH:8]=[O:9])[cH:10][c:11]2[S:12][c:13]2[cH:14][c:15]([CH:16]=[CH:17][c:18]3[cH:19][cH:20][n:21][cH:22][cH:23]3)[cH:24][cH:25][c:26]21
68,[CH2:22]=[CH:23][C:24](=[O:25])[NH:26][O:27][CH:28]1[CH2:29][CH2:30][CH2:31][CH2:32][O:33]1.I[c:21]1[c:3]([O:2][CH3:1])[cH:4][cH:5][c:6]([N:7]([CH3:8])[c:9]2[n:10][c:11]([CH3:12])[n:13][c:14]3[cH:15][cH:16][cH:17][cH:18][c:19]23)[cH:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([N:7]([CH3:8])[c:9]2[n:10][c:11]([CH3:12])[n:13][c:14]3[cH:15][cH:16][cH:17][cH:18][c:19]23)[cH:20][c:21]1/[CH:22]=[CH:23]/[C:24](=[O:25])[NH:26][O:27][CH:28]1[CH2:29][CH2:30][CH2:31][CH2:32][O:33]1
69,[CH2:22]=[CH:23][C:24](=[O:25])[NH:26][O:27][CH:28]1[CH2:29][CH2:30][CH2:31][CH2:32][O:33]1.I[c:21]1[c:3]([O:2][CH3:1])[cH:4][cH:5][c:6]([N:7]([CH3:8])[c:9]2[n:10][c:11]([CH3:12])[n:13][c:14]3[cH:15][cH:16][cH:17][cH:18][c:19]23)[cH:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([N:7]([CH3:8])[c:9]2[n:10][c:11]([CH3:12])[n:13][c:14]3[cH:15][cH:16][cH:17][cH:18][c:19]23)[cH:20][c:21]1/[CH:22]=[CH:23]/[C:24](=[O:25])[NH:26][O:27][CH:28]1[CH2:29][CH2:30][CH2:31][CH2:32][O:33]1
70,I[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[N:7]([CH2:6][c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:18][cH:17]1)[CH2:8][CH:9]=[CH2:10]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][n:7]2[cH:8][c:9]([CH3:10])[c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]23)[cH:17][cH:18]1
71,[OH:1][C:2]([CH2:3][CH:4]=[CH2:5])([c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[C:19]([F:20])([F:21])[F:22].OB(O)[c:6]1[cH:7][cH:8][c:9]([Cl:10])[cH:11][cH:12]1>>[OH:1][C:2]([CH2:3]/[CH:4]=[CH:5]/[c:6]1[cH:7][cH:8][c:9]([Cl:10])[cH:11][cH:12]1)([c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[C:19]([F:20])([F:21])[F:22]
72,[OH:1][C:2]([CH2:3][CH:4]=[CH2:5])([c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[C:19]([F:20])([F:21])[F:22].OB(O)[c:6]1[cH:7][cH:8][c:9]([Cl:10])[cH:11][cH:12]1>>[OH:1][C:2]([CH2:3]/[CH:4]=[CH:5]/[c:6]1[cH:7][cH:8][c:9]([Cl:10])[cH:11][cH:12]1)([c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[C:19]([F:20])([F:21])[F:22]
73,Br[c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][n:10][cH:11][cH:12]2)[cH:13][cH:14]1.[CH:1](=[CH2:2])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[CH:1](=[CH:2]/[c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][n:10][cH:11][cH:12]2)[cH:13][cH:14]1)\[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1
74,Br[c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][n:10][cH:11][cH:12]2)[cH:13][cH:14]1.[CH:1](=[CH2:2])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[CH:1](=[CH:2]/[c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][n:10][cH:11][cH:12]2)[cH:13][cH:14]1)\[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1
75,[CH2:1]1[CH:21]([NH:20][C:18](=[O:2])[c:17]2[cH:16][cH:15][c:14]([NH:13][C:11]([CH:10]=[CH2:9])=[O:12])[cH:27][cH:26]2)[CH2:22][CH2:23][CH2:24]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1/[CH:9]=[CH:10]/[C:11](=[O:12])[NH:13][c:14]1[cH:15][cH:16][c:17]([C:18](=[O:19])[NH:20][CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25]2)[cH:26][cH:27]1
76,[CH2:1]1[CH:21]([NH:20][C:18](=[O:2])[c:17]2[cH:16][cH:15][c:14]([NH:13][C:11]([CH:10]=[CH2:9])=[O:12])[cH:27][cH:26]2)[CH2:22][CH2:23][CH2:24]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1/[CH:9]=[CH:10]/[C:11](=[O:12])[NH:13][c:14]1[cH:15][cH:16][c:17]([C:18](=[O:19])[NH:20][CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25]2)[cH:26][cH:27]1
77,[CH2:1]1[CH:20]([NH:19][C:17](=[O:2])[c:16]2[cH:15][cH:14][c:13]([NH:12][C:10]([CH:9]=[CH2:8])=[O:11])[cH:26][cH:25]2)[CH2:21][CH2:22][CH2:23]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7](/[CH:8]=[CH:9]/[C:10](=[O:11])[NH:12][c:13]2[cH:14][cH:15][c:16]([C:17](=[O:18])[NH:19][CH:20]3[CH2:21][CH2:22][CH2:23][CH2:24]3)[cH:25][cH:26]2)[cH:27]1
78,[CH2:1]1[CH:20]([NH:19][C:17](=[O:2])[c:16]2[cH:15][cH:14][c:13]([NH:12][C:10]([CH:9]=[CH2:8])=[O:11])[cH:26][cH:25]2)[CH2:21][CH2:22][CH2:23]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7](/[CH:8]=[CH:9]/[C:10](=[O:11])[NH:12][c:13]2[cH:14][cH:15][c:16]([C:17](=[O:18])[NH:19][CH:20]3[CH2:21][CH2:22][CH2:23][CH2:24]3)[cH:25][cH:26]2)[cH:27]1
79,[CH2:1]1[CH:22]([NH:21][C:19](=[O:2])[c:18]2[cH:17][cH:16][cH:15][c:14]([NH:13][C:11]([CH:10]=[CH2:9])=[O:12])[cH:27]2)[CH2:23][CH2:24][CH2:25]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1/[CH:9]=[CH:10]/[C:11](=[O:12])[NH:13][c:14]1[cH:15][cH:16][cH:17][c:18]([C:19](=[O:20])[NH:21][CH:22]2[CH2:23][CH2:24][CH2:25][CH2:26]2)[cH:27]1
80,[CH2:1]1[CH:22]([NH:21][C:19](=[O:2])[c:18]2[cH:17][cH:16][cH:15][c:14]([NH:13][C:11]([CH:10]=[CH2:9])=[O:12])[cH:27]2)[CH2:23][CH2:24][CH2:25]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1/[CH:9]=[CH:10]/[C:11](=[O:12])[NH:13][c:14]1[cH:15][cH:16][cH:17][c:18]([C:19](=[O:20])[NH:21][CH:22]2[CH2:23][CH2:24][CH2:25][CH2:26]2)[cH:27]1
81,[CH2:1]1[CH2:22][CH2:21][CH:20]([NH:19][C:17](=[O:2])[c:16]2[cH:15][cH:14][cH:13][c:12]([NH:11][C:9]([CH:8]=[CH2:7])=[O:10])[cH:25]2)[CH2:26]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9](=[O:10])[NH:11][c:12]2[cH:13][cH:14][cH:15][c:16]([C:17](=[O:18])[NH:19][CH:20]3[CH2:21][CH2:22][CH2:23][CH2:24]3)[cH:25]2)[cH:26][cH:27]1
82,[CH2:1]1[CH2:22][CH2:21][CH:20]([NH:19][C:17](=[O:2])[c:16]2[cH:15][cH:14][cH:13][c:12]([NH:11][C:9]([CH:8]=[CH2:7])=[O:10])[cH:25]2)[CH2:26]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9](=[O:10])[NH:11][c:12]2[cH:13][cH:14][cH:15][c:16]([C:17](=[O:18])[NH:19][CH:20]3[CH2:21][CH2:22][CH2:23][CH2:24]3)[cH:25]2)[cH:26][cH:27]1
83,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
84,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
85,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
86,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
87,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
88,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
89,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
90,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
91,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
92,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
93,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17]1
